Year,Month,Datasource,Portroute,Arrivedepart,Traffictotal,Periodstart,Periodend,AM_PM_night,Haul
2017,1,Air,421,2,93355,,,,S
2017,1,Air,441,2,72420,,,,S
2017,1,Air,451,2,0,,,,S
2017,1,Air,461,2,0,,,,S
2017,1,Air,471,2,36036,,,,S
2017,1,Air,481,2,19374,,,,S
2017,1,Air,250,2,51285,,,,S
2017,1,Air,350,2,15006,,,,S
2017,1,Air,260,2,67021,,,,S
2017,1,Air,360,2,15447,,,,S
2017,1,Air,111,2,0,,,,L
2017,1,Air,121,2,203578,,,,L
2017,1,Air,131,2,392544,,,,L
2017,1,Air,141,2,232278,,,,L
2017,1,Air,151,2,307744,,,,L
2017,1,Air,181,2,118865,,,,L
2017,1,Air,191,2,165510,,,,L
2017,1,Air,201,2,6946,,,,L
2017,1,Air,211,2,92308,,,,L
2017,1,Air,221,2,92220,,,,L
2017,1,Air,231,2,7890,,,,L
2017,1,Air,241,2,12117,,,,L
2017,1,Air,311,2,68215,,,,L
2017,1,Air,321,2,0,,,,L
2017,1,Air,331,2,0,,,,L
2017,1,Air,341,2,1590,,,,L
2017,1,Air,351,2,2125,,,,L
2017,1,Air,361,2,1145,,,,L
2017,1,Air,371,2,278,,,,L
2017,1,Air,381,2,14479,,,,L
2017,1,Air,391,2,26498,,,,L
2017,1,Air,401,2,0,,,,L
2017,1,Air,411,2,1325,,,,L
2017,1,Air,421,2,305,,,,L
2017,1,Air,441,2,10992,,,,L
2017,1,Air,451,2,0,,,,L
2017,1,Air,461,2,0,,,,L
2017,1,Air,471,2,305,,,,L
2017,1,Air,481,2,0,,,,L
2017,1,Air,111,2,0,,,,E
2017,1,Air,121,2,53722,,,,E
2017,1,Air,131,2,0,,,,E
2017,1,Air,141,2,0,,,,E
2017,1,Air,151,2,23968,,,,E
2017,1,Air,181,2,63179,,,,E
2017,1,Air,191,2,0,,,,E
2017,1,Air,201,2,60259,,,,E
2017,1,Air,211,2,16285,,,,E
2017,1,Air,221,2,0,,,,E
2017,1,Air,231,2,29237,,,,E
2017,1,Air,241,2,20894,,,,E
2017,1,Air,311,2,37916,,,,E
2017,1,Air,321,2,0,,,,E
2017,1,Air,331,2,1058,,,,E
2017,1,Air,341,2,0,,,,E
2017,1,Air,351,2,16103,,,,E
2017,1,Air,361,2,3261,,,,E
2017,1,Air,371,2,9833,,,,E
2017,1,Air,381,2,23685,,,,E
2017,1,Air,391,2,18588,,,,E
2017,1,Air,401,2,10595,,,,E
2017,1,Air,411,2,24193,,,,E
2017,1,Air,421,2,14367,,,,E
2017,1,Air,441,2,10362,,,,E
2017,1,Air,451,2,0,,,,E
2017,1,Air,461,2,0,,,,E
2017,1,Air,471,2,597,,,,E
2017,1,Air,481,2,4997,,,,E
2017,2,Air,111,2,0,,,,S
2017,2,Air,121,2,204879,,,,S
2017,2,Air,131,2,95680,,,,S
2017,2,Air,141,2,77394,,,,S
2017,2,Air,151,2,267627,,,,S
2017,2,Air,181,2,353313,,,,S
2017,2,Air,191,2,538695,,,,S
2017,2,Air,201,2,595490,,,,S
2017,2,Air,211,2,243598,,,,S
2017,2,Air,221,2,70410,,,,S
2017,2,Air,231,2,139969,,,,S
2017,2,Air,241,2,395972,,,,S
2017,2,Air,311,2,247611,,,,S
2017,2,Air,321,2,0,,,,S
2017,2,Air,331,2,28965,,,,S
2017,2,Air,341,2,46137,,,,S
2017,2,Air,351,2,173436,,,,S
2017,2,Air,361,2,21156,,,,S
2017,2,Air,371,2,91061,,,,S
2017,2,Air,381,2,173620,,,,S
2017,2,Air,391,2,98867,,,,S
2017,2,Air,401,2,75258,,,,S
2017,2,Air,411,2,96966,,,,S
2017,2,Air,421,2,108107,,,,S
2017,2,Air,441,2,78437,,,,S
2017,2,Air,451,2,0,,,,S
2017,2,Air,461,2,0,,,,S
2017,2,Air,471,2,35415,,,,S
2017,2,Air,481,2,22870,,,,S
2017,2,Air,250,2,51915,,,,S
2017,2,Air,350,2,14249,,,,S
2017,2,Air,260,2,66140,,,,S
2017,2,Air,360,2,15677,,,,S
2017,2,Air,111,2,0,,,,L
2017,2,Air,121,2,181300,,,,L
2017,2,Air,131,2,345736,,,,L
2017,2,Air,141,2,205248,,,,L
2017,2,Air,151,2,279079,,,,L
2017,2,Air,181,2,133330,,,,L
2017,2,Air,191,2,146395,,,,L
2017,2,Air,201,2,6370,,,,L
2017,2,Air,211,2,87410,,,,L
2017,2,Air,221,2,95174,,,,L
2017,2,Air,231,2,3926,,,,L
2017,2,Air,241,2,10999,,,,L
2017,2,Air,311,2,69460,,,,L
2017,2,Air,321,2,0,,,,L
2017,2,Air,331,2,0,,,,L
2017,2,Air,341,2,2,,,,L
2017,2,Air,351,2,1964,,,,L
2017,2,Air,361,2,846,,,,L
2017,2,Air,371,2,0,,,,L
2017,2,Air,381,2,12128,,,,L
2017,2,Air,391,2,24275,,,,L
2017,2,Air,401,2,2,,,,L
2017,2,Air,411,2,1632,,,,L
2017,2,Air,421,2,444,,,,L
2017,2,Air,441,2,10585,,,,L
2017,2,Air,451,2,0,,,,L
2017,2,Air,461,2,0,,,,L
2017,2,Air,471,2,24,,,,L
2017,2,Air,481,2,0,,,,L
2017,2,Air,111,2,0,,,,E
2017,2,Air,121,2,58132,,,,E
2017,2,Air,131,2,0,,,,E
2017,2,Air,141,2,0,,,,E
2017,2,Air,151,2,22432,,,,E
2017,2,Air,181,2,68211,,,,E
2017,2,Air,191,2,6,,,,E
2017,2,Air,201,2,61395,,,,E
2017,2,Air,211,2,17684,,,,E
2017,2,Air,221,2,0,,,,E
2017,2,Air,231,2,29020,,,,E
2017,2,Air,241,2,21231,,,,E
2017,2,Air,311,2,41316,,,,E
2017,2,Air,321,2,0,,,,E
2017,2,Air,331,2,1241,,,,E
2017,2,Air,341,2,0,,,,E
2017,2,Air,351,2,17727,,,,E
2017,2,Air,361,2,3959,,,,E
2017,2,Air,371,2,11345,,,,E
2017,2,Air,381,2,26847,,,,E
2017,2,Air,391,2,20152,,,,E
2017,2,Air,401,2,11297,,,,E
2017,2,Air,411,2,23796,,,,E
2017,2,Air,421,2,17069,,,,E
2017,2,Air,441,2,10973,,,,E
2017,2,Air,451,2,0,,,,E
2017,2,Air,461,2,0,,,,E
2017,2,Air,471,2,903,,,,E
2017,2,Air,481,2,5758,,,,E
2017,3,Air,111,2,0,,,,S
2017,3,Air,121,2,238864,,,,S
2017,3,Air,131,2,111246,,,,S
2017,3,Air,141,2,89332,,,,S
2017,3,Air,151,2,321684,,,,S
2017,3,Air,181,2,407749,,,,S
2017,3,Air,191,2,618955,,,,S
2017,3,Air,201,2,673845,,,,S
2017,3,Air,211,2,279135,,,,S
2017,3,Air,221,2,77709,,,,S
2017,3,Air,231,2,161603,,,,S
2017,3,Air,241,2,443954,,,,S
2017,3,Air,311,2,281926,,,,S
2017,3,Air,321,2,0,,,,S
2017,3,Air,331,2,34247,,,,S
2017,3,Air,341,2,55338,,,,S
2017,3,Air,351,2,208604,,,,S
2017,3,Air,361,2,25570,,,,S
2017,3,Air,371,2,115079,,,,S
2017,3,Air,381,2,222324,,,,S
2017,3,Air,391,2,125527,,,,S
2017,3,Air,401,2,96880,,,,S
2017,3,Air,411,2,116368,,,,S
2017,3,Air,421,2,132895,,,,S
2017,3,Air,441,2,97832,,,,S
2017,3,Air,451,2,0,,,,S
2017,3,Air,461,2,0,,,,S
2017,3,Air,471,2,40055,,,,S
2017,3,Air,481,2,24528,,,,S
2017,3,Air,250,2,42096,,,,S
2017,3,Air,350,2,13215,,,,S
2017,3,Air,260,2,54360,,,,S
2017,3,Air,360,2,13188,,,,S
2017,3,Air,111,2,0,,,,L
2017,3,Air,121,2,217394,,,,L
2017,3,Air,131,2,401570,,,,L
2017,3,Air,141,2,200827,,,,L
2017,3,Air,151,2,320481,,,,L
2017,3,Air,181,2,141251,,,,L
2017,3,Air,191,2,162192,,,,L
2017,3,Air,201,2,6758,,,,L
2017,3,Air,211,2,94429,,,,L
2017,3,Air,221,2,104661,,,,L
2017,3,Air,231,2,6910,,,,L
2017,3,Air,241,2,12149,,,,L
2017,3,Air,311,2,69806,,,,L
2017,3,Air,321,2,0,,,,L
2017,3,Air,331,2,0,,,,L
2017,3,Air,341,2,315,,,,L
2017,3,Air,351,2,2272,,,,L
2017,3,Air,361,2,843,,,,L
2017,3,Air,371,2,53,,,,L
2017,3,Air,381,2,14880,,,,L
2017,3,Air,391,2,26306,,,,L
2017,3,Air,401,2,0,,,,L
2017,3,Air,411,2,1619,,,,L
2017,3,Air,421,2,490,,,,L
2017,3,Air,441,2,9918,,,,L
2017,3,Air,451,2,0,,,,L
2017,3,Air,461,2,0,,,,L
2017,3,Air,471,2,12,,,,L
2017,3,Air,481,2,0,,,,L
2017,3,Air,111,2,0,,,,E
2017,3,Air,121,2,73316,,,,E
2017,3,Air,131,2,0,,,,E
2017,3,Air,141,2,0,,,,E
2017,3,Air,151,2,27975,,,,E
2017,3,Air,181,2,78872,,,,E
2017,3,Air,191,2,0,,,,E
2017,3,Air,201,2,71475,,,,E
2017,3,Air,211,2,19871,,,,E
2017,3,Air,221,2,0,,,,E
2017,3,Air,231,2,31161,,,,E
2017,3,Air,241,2,24594,,,,E
2017,3,Air,311,2,48942,,,,E
2017,3,Air,321,2,0,,,,E
2017,3,Air,331,2,1562,,,,E
2017,3,Air,341,2,0,,,,E
