,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
47,401,1,,,,,4.0,250.0,650.0,,228.0,93800.0
109,401,2,1.0,1.0,10.0,130.0,4.0,320.0,320.0,320.0,195.0,62400.0
322,401,2,2.0,1.0,,50.0,0.0,,,,,
48,401,2,,,,,4.0,320.0,320.0,,195.0,62400.0
110,411,1,1.0,1.0,10.0,130.0,7.0,180.0,180.0,180.0,314.0,56520.0
111,411,1,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,174.0,27840.0
49,411,1,,,,,10.0,160.0,180.0,,488.0,84360.0
112,411,2,1.0,1.0,10.0,130.0,4.0,320.0,320.0,320.0,156.0,49920.0
113,411,2,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,167.0,26720.0
50,411,2,,,,,7.0,160.0,320.0,,323.0,76640.0
114,421,1,1.0,1.0,10.0,130.0,4.0,320.0,320.0,320.0,175.0,56000.0
323,421,1,2.0,1.0,,50.0,0.0,,,,,
51,421,1,,,,,4.0,320.0,320.0,,175.0,56000.0
115,421,2,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,115.0,49450.0
116,421,2,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,42.0,21000.0
52,421,2,,,,,4.0,430.0,500.0,,157.0,70450.0
117,441,1,1.0,1.0,10.0,130.0,7.0,180.0,180.0,180.0,209.0,37620.0
118,441,1,2.0,1.0,6.0,50.0,3.0,96.0,96.0,96.0,53.0,5088.0
119,441,1,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,79.0,12640.0
53,441,1,,,,,10.0,96.0,180.0,,341.0,55348.0
120,441,2,1.0,1.0,10.0,130.0,5.0,260.0,260.0,260.0,235.0,61100.0
121,441,2,2.0,1.0,10.0,50.0,2.0,250.0,250.0,250.0,114.0,28500.0
54,441,2,,,,,7.0,250.0,260.0,,349.0,89600.0
324,443,1,1.0,1.0,,130.0,0.0,,,,,
325,443,1,2.0,1.0,,50.0,0.0,,,,,
326,443,2,1.0,1.0,,130.0,0.0,,,,,
327,443,2,2.0,1.0,,50.0,0.0,,,,,
122,471,1,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,163.0,70090.0
123,471,1,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,21.0,10500.0
55,471,1,,,,,4.0,430.0,500.0,,184.0,80590.0
124,471,2,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,148.0,63640.0
125,471,2,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,29.0,14500.0
56,471,2,,,,,4.0,430.0,500.0,,177.0,78140.0
126,481,1,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,155.0,66650.0
127,481,1,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,39.0,19500.0
57,481,1,,,,,4.0,430.0,500.0,,194.0,86150.0
128,481,2,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,154.0,66220.0
328,481,2,2.0,1.0,,50.0,0.0,,,,,
58,481,2,,,,,3.0,430.0,430.0,,154.0,66220.0
129,611,1,1.0,1.0,10.0,3023.0,38.0,795.526315789,795.526315789,795.526315789,761.0,605395.526316
130,611,1,1.0,1.0,20.0,3023.0,38.0,1591.05263158,1591.05263158,1591.05263158,20.0,31821.0526316
59,611,1,,,,,,795.526315789,1591.05263158,,781.0,637216.578947
131,611,2,1.0,1.0,10.0,3023.0,39.0,775.128205128,775.128205128,775.128205128,804.0,623203.076923
60,611,2,,,,,,775.128205128,775.128205128,,804.0,623203.076923
132,612,1,1.0,1.0,10.0,895.0,13.0,688.461538462,688.461538462,688.461538462,249.0,171426.923077
133,612,1,1.0,1.0,20.0,895.0,13.0,1376.92307692,1376.92307692,1376.92307692,21.0,28915.3846154
61,612,1,,,,,,688.461538462,1376.92307692,,270.0,200342.307692
134,612,2,1.0,1.0,10.0,895.0,13.0,688.461538462,688.461538462,688.461538462,249.0,171426.923077
62,612,2,,,,,,688.461538462,688.461538462,,249.0,171426.923077
329,613,1,1.0,1.0,,0.0,0.0,,,,,
330,613,2,1.0,1.0,,0.0,0.0,,,,,
135,621,1,1.0,1.0,10.0,165.0,1.0,1650.0,1650.0,1650.0,4.0,6600.0
63,621,1,,,,,,1650.0,1650.0,,4.0,6600.0
136,621,2,1.0,1.0,10.0,165.0,1.0,1650.0,1650.0,1650.0,9.0,14850.0
64,621,2,,,,,,1650.0,1650.0,,9.0,14850.0
331,631,1,1.0,1.0,,1.0,0.0,,,,,
332,631,2,1.0,1.0,,1.0,0.0,,,,,
137,632,1,1.0,1.0,20.0,99.0,4.0,495.0,495.0,495.0,9.0,4455.0
65,632,1,,,,,,495.0,495.0,,9.0,4455.0
138,632,2,1.0,1.0,10.0,99.0,5.0,198.0,198.0,198.0,32.0,6336.0
66,632,2,,,,,,198.0,198.0,,32.0,6336.0
139,633,1,1.0,1.0,20.0,55.0,3.0,366.666666667,366.666666667,366.666666667,40.0,14666.6666667
67,633,1,,,,,,366.666666667,366.666666667,,40.0,14666.6666667
140,633,2,1.0,1.0,10.0,55.0,4.0,137.5,137.5,137.5,51.0,7012.5
68,633,2,,,,,,137.5,137.5,,51.0,7012.5
141,634,1,1.0,1.0,10.0,253.0,11.0,230.0,230.0,230.0,1.0,230.0
142,634,1,1.0,1.0,20.0,253.0,11.0,460.0,460.0,460.0,67.0,30820.0
69,634,1,,,,,,230.0,460.0,,68.0,31050.0
143,634,2,1.0,1.0,10.0,252.0,10.0,252.0,252.0,252.0,145.0,36540.0
144,634,2,1.0,1.0,20.0,252.0,10.0,504.0,504.0,504.0,1.0,504.0
70,634,2,,,,,,252.0,504.0,,146.0,37044.0
145,635,1,1.0,1.0,20.0,19.0,3.0,126.666666667,126.666666667,126.666666667,41.0,5193.33333333
71,635,1,,,,,,126.666666667,126.666666667,,41.0,5193.33333333
333,635,2,1.0,1.0,,20.0,0.0,,,,,
146,636,1,1.0,1.0,20.0,36.0,1.0,720.0,720.0,720.0,7.0,5040.0
72,636,1,,,,,,720.0,720.0,,7.0,5040.0
147,636,2,1.0,1.0,10.0,36.0,3.0,120.0,120.0,120.0,87.0,10440.0
73,636,2,,,,,,120.0,120.0,,87.0,10440.0
334,641,1,1.0,1.0,,0.0,0.0,,,,,
335,641,2,1.0,1.0,,0.0,0.0,,,,,
148,651,1,1.0,1.0,20.0,89.0,1.0,1780.0,1780.0,1780.0,10.0,17800.0
74,651,1,,,,,,1780.0,1780.0,,10.0,17800.0
