,SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK
466,4.10210000021e+11,,,56.0,1.0
467,4.10210000025e+11,138.0,,35.0,
468,4.10210000037e+11,,,82.0,5.0
469,4.10210000043e+11,,,103.0,5.0
470,4.10210000048e+11,,,65.0,
471,4.1021000005e+11,,,86.0,1.0
472,4.1021000006e+11,,,55.0,2.0
473,4.10210000073e+11,,,103.0,5.0
474,4.10210000075e+11,,,86.0,1.0
475,4.10210000079e+11,,,103.0,5.0
476,4.1021000008e+11,300.0,,18.0,
477,4.10210000082e+11,,,,
478,4.10218331014e+11,,,48.0,1.0
479,4.10218331018e+11,,,32.0,0.0
480,4.10218331024e+11,,,,
481,4.10218331027e+11,,,,
482,4.10218331031e+11,207.0,,38.0,
483,4.10218331035e+11,,,50.0,5.0
484,4.10218331042e+11,,,,
485,4.10218331044e+11,643.0,,82.0,5.0
486,4.10218331059e+11,,,50.0,5.0
487,4.10218331065e+11,190.0,,55.0,2.0
488,4.10218331067e+11,,,,
489,4.10218331074e+11,756.0,,50.0,
490,4.10218777002e+11,,,50.0,4.0
491,4.10218777006e+11,220.0,,45.0,
492,4.1021877701e+11,431.0,,100.0,
493,4.10218777033e+11,300.0,,119.0,
494,4.10218777036e+11,150.0,,150.0,
495,4.10218777039e+11,150.0,,100.0,
496,4.10218777045e+11,312.0,,75.0,
497,4.10218777049e+11,1000.0,,82.0,5.0
498,4.10218777053e+11,440.0,,100.0,
499,4.10218777061e+11,,,55.0,2.0
500,4.10218777063e+11,,,46.0,2.0
501,4.10218777068e+11,670.0,,70.0,
502,4.10218777072e+11,500.0,,60.0,
503,4.10218777077e+11,500.0,,80.0,
504,4.10218840003e+11,325.0,,50.0,
505,4.10218840011e+11,467.0,,38.0,
506,4.10218840017e+11,250.0,,35.0,
507,4.1021884002e+11,125.0,,45.0,
508,4.10218840029e+11,67.0,,15.0,
509,4.10218840034e+11,88.0,,40.0,
510,4.1021884004e+11,,,52.0,3.0
511,4.10218840047e+11,,,69.0,7.0
512,4.10218840051e+11,,,,
513,4.10218840055e+11,138.0,,45.0,
514,4.10218840057e+11,260.0,,150.0,
515,4.10218840064e+11,308.0,,40.0,
516,4.10218840069e+11,,,46.0,2.0
517,4.10218840076e+11,,,50.0,4.0
518,4.10218841005e+11,610.0,,75.0,
519,4.10218841008e+11,365.0,,34.0,
520,4.10218841012e+11,425.0,,50.0,
521,4.10218841015e+11,,,34.0,1.0
522,4.10218841023e+11,,,34.0,1.0
523,4.10218841038e+11,,,,
524,4.10218841041e+11,270.0,,93.0,
525,4.10218841052e+11,264.0,,73.0,
526,4.10218841056e+11,1000.0,,155.0,
527,4.1021884107e+11,,,46.0,2.0
