,SERIAL,SHIFT_WT
232,11025051,360.0
233,11025052,360.0
234,11025053,360.0
235,11025054,360.0
236,11025055,360.0
237,11025056,360.0
238,11025057,360.0
239,11025058,360.0
240,11025059,360.0
241,11025060,360.0
242,11025061,360.0
243,11025062,360.0
244,11025063,360.0
245,11025064,360.0
246,11025065,360.0
247,11025066,360.0
248,11025067,360.0
249,11025068,360.0
250,11025069,360.0
251,11025070,360.0
252,11025071,360.0
253,11025072,360.0
254,11025073,360.0
255,11025074,360.0
256,11025075,360.0
257,11025076,360.0
258,11025077,360.0
259,11025078,360.0
260,11025079,360.0
261,11025080,360.0
262,11025081,360.0
263,11025082,360.0
264,11025083,360.0
265,11025084,360.0
266,11025085,360.0
267,11025086,360.0
268,11025087,360.0
269,11025088,360.0
270,11025089,360.0
271,11025090,360.0
272,11025091,360.0
273,11025092,360.0
274,11025093,360.0
275,11025094,360.0
276,11025095,360.0
277,11025096,360.0
278,11025097,360.0
279,11025098,360.0
280,11025099,360.0
281,11025100,360.0
1276,11026001,200.0
1277,11026002,200.0
1278,11026003,200.0
1279,11026004,200.0
1280,11026005,200.0
1281,11026006,200.0
1282,11026007,200.0
1283,11026008,200.0
1284,11026009,200.0
1285,11026010,200.0
1286,11026011,200.0
1287,11026012,200.0
1288,11026013,200.0
1289,11026014,200.0
1290,11026015,200.0
1291,11026016,200.0
1292,11026017,200.0
1293,11026018,200.0
1294,11026019,200.0
1295,11026020,200.0
1296,11026021,200.0
1297,11026022,200.0
1298,11026023,200.0
1299,11026024,200.0
1300,11026025,200.0
1301,11026026,200.0
1302,11026027,200.0
1303,11026028,200.0
1304,11026029,200.0
1305,11026030,200.0
1306,11026031,200.0
1307,11026032,200.0
1308,11026033,200.0
1309,11026034,200.0
1310,11026035,200.0
1311,11026036,200.0
1312,11026037,200.0
1313,11026038,200.0
1314,11026039,200.0
1315,11026040,200.0
1316,11026041,200.0
1317,11026042,200.0
1318,11026043,200.0
1319,11026044,200.0
1320,11026045,200.0
1321,11026046,200.0
1322,11026047,200.0
1323,11026048,200.0
1324,11026049,200.0
1325,11026050,200.0
1326,11026051,200.0
1327,11026052,200.0
1328,11026053,200.0
1329,11026054,200.0
1330,11026055,200.0
1331,11026056,200.0
1332,11026057,200.0
1333,11026058,200.0
1334,11026059,200.0
1335,11026060,200.0
1336,11026061,200.0
1337,11026062,200.0
1338,11026063,200.0
1339,11026064,200.0
1340,11026065,200.0
1341,11026066,200.0
1342,11026067,200.0
1343,11026068,200.0
1344,11026069,200.0
1345,11026070,200.0
1346,11026071,200.0
1347,11026072,200.0
1348,11026073,200.0
1349,11026074,200.0
1350,11026075,200.0
1351,11026076,200.0
1352,11026077,200.0
1353,11026078,200.0
1354,11026079,200.0
1355,11026080,200.0
1356,11026081,200.0
1357,11026082,200.0
1358,11026083,200.0
1359,11026084,200.0
1360,11026085,200.0
1361,11026086,200.0
1362,11026087,200.0
1363,11026088,200.0
1364,11026089,200.0
1365,11026090,200.0
1366,11026091,200.0
1367,11026092,200.0
1368,11026093,200.0
1369,11026094,200.0
1370,11026095,200.0
1371,11026096,200.0
1372,11026097,200.0
1373,11026098,200.0
1374,11026099,200.0
1375,11026100,200.0
1376,11026101,200.0
1377,11026102,200.0
1378,11026103,200.0
1379,11026104,200.0
1380,11026105,200.0
1381,11026106,200.0
1382,11026107,200.0
1383,11026108,200.0
1384,11027001,200.0
1385,11027002,200.0
1386,11027003,200.0
1387,11027004,200.0
1388,11027005,200.0
1389,11027006,200.0
1390,11027007,200.0
1391,11027008,200.0
1392,11027009,200.0
1393,11027010,200.0
1394,11027011,200.0
1395,11027012,200.0
1396,11027013,200.0
1397,11027014,200.0
1398,11027015,200.0
1399,11027016,200.0
1400,11027017,200.0
1401,11027018,200.0
1402,11027019,200.0
1403,11027020,200.0
1404,11027021,200.0
1405,11027022,200.0
1406,11027023,200.0
1407,11027024,200.0
1408,11027025,200.0
1409,11027026,200.0
1410,11027027,200.0
1411,11027028,200.0
1412,11027029,200.0
1413,11027030,200.0
1414,11027031,200.0
1415,11027032,200.0
1416,11027033,200.0
1417,11027034,200.0
1418,11027035,200.0
1419,11027036,200.0
1420,11027037,200.0
1421,11027038,200.0
1422,11027039,200.0
1423,11027040,200.0
1424,11027041,200.0
1425,11027042,200.0
1426,11027043,200.0
1427,11027044,200.0
1428,11027045,200.0
1429,11027046,200.0
1430,11027047,200.0
1431,11027049,200.0
1432,11027050,200.0
1433,11027051,200.0
1434,11027052,200.0
1435,11027053,200.0
1436,11027054,200.0
1437,11027055,200.0
1438,11027056,200.0
1439,11027057,200.0
1440,11027058,200.0
1441,11027059,200.0
1442,11027060,200.0
1443,11027061,200.0
1444,11027062,200.0
1445,11027063,200.0
1446,11027064,200.0
1447,11027065,200.0
1448,11027066,200.0
1449,11027067,200.0
1450,11027068,200.0
1451,11027069,200.0
1452,11027070,200.0
1453,11027071,200.0
1454,11027072,200.0
1455,11027073,200.0
1456,11027074,200.0
1457,11027075,200.0
1458,11027076,200.0
1459,11027077,200.0
1460,11027078,200.0
1461,11027079,200.0
1462,11027080,200.0
1463,11027081,200.0
1464,11027082,200.0
1465,11027083,200.0
1466,11027084,200.0
1467,11027085,200.0
1468,11027086,200.0
1469,11027087,200.0
1470,11027088,200.0
1471,11027089,200.0
1472,11027090,200.0
1473,11027091,200.0
1474,11027092,200.0
1475,11027093,200.0
1476,11027094,200.0
1477,11027095,200.0
1478,11027096,200.0
1479,11027097,200.0
1480,11027098,200.0
1481,11027099,200.0
1482,11027100,200.0
1483,11027101,200.0
1484,11027102,200.0
1485,11027103,200.0
1486,11027104,200.0
1487,11027105,200.0
1488,11027106,200.0
1489,11027107,200.0
1490,11027108,200.0
1491,11027109,200.0
1492,11027110,200.0
1493,11027111,200.0
1494,11027112,200.0
1495,11027113,200.0
1496,11027114,200.0
1497,11027115,200.0
1498,11027116,200.0
1499,11027117,200.0
1500,11027118,200.0
1501,11027119,200.0
1502,11027120,200.0
1503,11027121,200.0
1504,11027122,200.0
1505,11027123,200.0
1506,11027124,200.0
1507,11027125,200.0
1508,11027126,200.0
1509,11027127,200.0
1510,11027128,200.0
1511,11027129,200.0
1512,11027130,200.0
1513,11027131,200.0
1514,11027132,200.0
2724,11028001,160.0
2725,11028002,160.0
2726,11028003,160.0
2727,11028004,160.0
2728,11028005,160.0
2729,11028006,160.0
2730,11028007,160.0
2731,11028008,160.0
2732,11028009,160.0
2733,11028010,160.0
2734,11028011,160.0
2735,11028012,160.0
2736,11028013,160.0
2737,11028014,160.0
2738,11028015,160.0
2739,11028016,160.0
2740,11028017,160.0
2741,11028018,160.0
2742,11028019,160.0
2743,11028020,160.0
2744,11028021,160.0
2745,11028022,160.0
2746,11028023,160.0
2747,11028024,160.0
2748,11028025,160.0
2749,11028026,160.0
2750,11028027,160.0
2751,11028028,160.0
2752,11028029,160.0
2753,11028030,160.0
2754,11028031,160.0
2755,11028032,160.0
2756,11028033,160.0
2757,11028034,160.0
2758,11028035,160.0
2759,11028036,160.0
2760,11028037,160.0
2761,11028038,160.0
2762,11028039,160.0
2763,11028040,160.0
2764,11028041,160.0
2765,11028042,160.0
2766,11028043,160.0
2767,11028044,160.0
2768,11028045,160.0
2769,11028046,160.0
2770,11028047,160.0
2771,11028048,160.0
2772,11028049,160.0
2773,11028050,160.0
2774,11028051,160.0
2775,11028052,160.0
2776,11028053,160.0
2777,11028054,160.0
2778,11028055,160.0
2779,11028056,160.0
2780,11028057,160.0
2781,11028058,160.0
2782,11028059,160.0
2783,11028060,160.0
2784,11028061,160.0
2785,11028062,160.0
2786,11028063,160.0
2787,11028064,160.0
2788,11028065,160.0
2789,11028066,160.0
2790,11028067,160.0
2791,11028068,160.0
2792,11028069,160.0
2793,11028070,160.0
2794,11028071,160.0
2795,11028072,160.0
2796,11028073,160.0
2797,11028074,160.0
2798,11028075,160.0
2799,11028076,160.0
2800,11028077,160.0
2801,11028078,160.0
2802,11028079,160.0
2803,11028080,160.0
2804,11028081,160.0
2805,11028082,160.0
2806,11028083,160.0
2807,11028084,160.0
2808,11028085,160.0
3353,11030001,40.0
3354,11030002,40.0
3355,11030003,40.0
3356,11030004,40.0
3357,11030005,40.0
3358,11030006,40.0
3359,11030007,40.0
3360,11030008,40.0
3361,11030009,40.0
3362,11030010,40.0
3363,11030011,40.0
3364,11030012,40.0
3365,11030013,40.0
3366,11030014,40.0
3367,11030015,40.0
3368,11030016,40.0
3369,11030017,40.0
3370,11030018,40.0
3371,11030019,40.0
3372,11030020,40.0
3373,11030021,40.0
3374,11030022,40.0
3375,11030023,40.0
3376,11030024,40.0
3377,11030025,40.0
3378,11030026,40.0
3379,11030027,40.0
3380,11030028,40.0
3381,11030029,40.0
3382,11030030,40.0
3383,11030031,40.0
3384,11030032,40.0
3385,11030033,40.0
3386,11030034,40.0
3387,11030035,40.0
3388,11030036,40.0
3389,11030037,40.0
3390,11030038,40.0
3391,11030039,40.0
3392,11030040,40.0
3393,11030041,40.0
3394,11030042,40.0
